word_length,word1,word2,cos_dist,edit_dist
3,cup,men,0.9967133926,3.0
3,cup,art,0.9982254522,3.0
3,cup,air,0.9982947307,3.0
3,cup,you,0.9977185179,3.0
3,cup,law,0.9996927184,3.0
3,cup,man,0.9952544387,3.0
3,cup,win,0.998076452,3.0
3,cup,san,0.9996730123,3.0
3,cup,red,0.9973511899,3.0
3,cup,jpg,0.9996366214,3.0
3,cup,non,0.9751067676,3.0
3,cup,act,0.9961804783,3.0
3,cup,run,0.9878506258,2.0
3,cup,per,0.9888375023,3.0
3,cup,how,0.9986649906,3.0
3,cup,few,0.9984883179,3.0
3,cup,sea,0.9961630882,3.0
3,cup,big,0.986087581,3.0
3,cup,los,0.9983401561,3.0
3,cup,car,0.9969008769,2.0
3,cup,van,0.9999244062,3.0
3,cup,bay,0.9960241325,3.0
3,cup,low,0.9932923688,3.0
3,cup,ten,0.9917954741,3.0
3,cup,get,0.9969759776,3.0
3,cup,lee,0.9890104006,3.0
3,cup,don,0.9917448086,3.0
3,cup,via,0.9974436263,3.0
3,cup,sir,0.9979299245,3.0
3,cup,mid,0.9883551786,3.0
3,cup,iii,0.9878599216,3.0
3,cup,bar,0.9995133464,3.0
3,cup,com,0.9932850516,2.0
3,cup,our,0.9963699673,2.0
3,cup,saw,0.9622224556,3.0
3,cup,put,0.9910227563,2.0
3,cup,too,0.998789119,3.0
3,cup,far,0.9968760635,3.0
3,cup,hit,0.9813371815,3.0
3,cup,tom,0.9948434866,3.0
3,cup,joe,0.994742193,3.0
3,cup,met,0.9979084536,3.0
3,cup,key,0.9931141575,3.0
3,cup,god,0.9964764115,3.0
3,cup,del,0.9891088659,3.0
3,cup,era,0.9949151611,3.0
3,cup,ice,0.9910802214,3.0
3,cup,ran,0.9829845565,3.0
3,cup,sun,0.9963618299,2.0
3,cup,oil,0.99879117,3.0
3,cup,von,0.9940262994,3.0
3,cup,pre,0.9993970459,3.0
3,cup,pro,0.9662990801,3.0
3,cup,hot,0.9980484067,3.0
3,cup,got,0.9989921218,3.0
3,cup,des,0.9975137147,3.0
3,cup,pop,0.9819351995,2.0
3,cup,bbc,0.999583067,3.0
3,cup,der,0.9989984052,3.0
3,cup,usa,0.9907917323,3.0
3,cup,boy,0.9929096289,3.0
3,cup,vol,0.9990233527,3.0
3,cup,bob,0.989207852,3.0
3,cup,cut,0.9894914325,1.0
3,cup,jim,0.9892515364,3.0
3,cup,map,0.9996911387,2.0
3,cup,box,0.9935964667,3.0
3,cup,ray,0.996358264,3.0
3,cup,inc,0.9900619465,3.0
3,cup,gun,0.9966137138,2.0
3,cup,ret,0.9942401115,3.0
3,cup,kim,0.9968079139,3.0
3,cup,bus,0.9989647579,2.0
3,cup,die,0.9995514131,3.0
3,cup,ben,0.9849611103,3.0
3,cup,sex,0.9982353029,3.0
3,cup,gas,0.993321553,3.0
3,cup,yet,0.9949789595,3.0
3,cup,jan,0.9910949477,3.0
3,cup,web,0.9990204589,3.0
3,cup,fox,0.9976534131,3.0
3,cup,sam,0.9922413366,3.0
3,cup,let,0.9940139979,3.0
3,cup,pay,0.9993098784,3.0
3,cup,job,0.9900037768,3.0
3,cup,ali,0.9940862222,3.0
3,cup,bad,0.9983482899,3.0
3,cup,max,0.9858289397,3.0
3,cup,tax,0.9825149532,3.0
3,cup,les,0.9954836855,3.0
3,cup,nfl,0.9914216949,3.0
3,cup,dan,0.9876234212,3.0
3,cup,say,0.997537984,3.0
3,cup,ltd,0.987445039,3.0
