word_length,word1,word2,cos_dist,edit_dist
3,cup,men,0.9967133926,3.0
3,cup,art,0.9982254522,3.0
3,cup,air,1.0017052693,3.0
3,cup,you,1.0022814821,3.0
3,cup,law,1.0003072816,3.0
3,cup,man,1.0047455613,3.0
3,cup,win,0.998076452,3.0
3,cup,san,0.9996730123,3.0
3,cup,red,1.0026488101,3.0
3,cup,jpg,1.0003633786,3.0
3,cup,non,1.0248932324,3.0
3,cup,act,0.9961804783,3.0
3,cup,run,1.0121493742,2.0
3,cup,per,1.0111624977,3.0
3,cup,how,1.0013350094,3.0
3,cup,few,1.0015116821,3.0
3,cup,sea,1.0038369118,3.0
3,cup,big,0.986087581,3.0
3,cup,los,0.9983401561,3.0
3,cup,car,0.9969008769,2.0
3,cup,van,0.9999244062,3.0
3,cup,bay,0.9960241325,3.0
3,cup,low,0.9932923688,3.0
3,cup,ten,1.0082045259,3.0
3,cup,get,1.0030240224,3.0
3,cup,lee,1.0109895994,3.0
3,cup,don,0.9917448086,3.0
3,cup,via,1.0025563737,3.0
3,cup,sir,0.9979299245,3.0
3,cup,mid,0.9883551786,3.0
3,cup,iii,1.0121400784,3.0
3,cup,bar,1.0004866536,3.0
3,cup,com,0.9932850516,2.0
3,cup,our,0.9963699673,2.0
3,cup,saw,0.9622224556,3.0
3,cup,put,1.0089772437,2.0
3,cup,too,0.998789119,3.0
3,cup,far,0.9968760635,3.0
3,cup,hit,1.0186628185,3.0
3,cup,tom,1.0051565134,3.0
3,cup,joe,0.994742193,3.0
3,cup,met,1.0020915464,3.0
3,cup,key,0.9931141575,3.0
3,cup,god,0.9964764115,3.0
3,cup,del,1.0108911341,3.0
3,cup,era,0.9949151611,3.0
3,cup,ice,1.0089197786,3.0
3,cup,ran,1.0170154435,3.0
3,cup,sun,0.9963618299,2.0
3,cup,oil,1.00120883,3.0
3,cup,von,0.9940262994,3.0
3,cup,pre,0.9993970459,3.0
3,cup,pro,0.9662990801,3.0
3,cup,hot,0.9980484067,3.0
3,cup,got,0.9989921218,3.0
3,cup,des,1.0024862853,3.0
3,cup,pop,1.0180648005,2.0
3,cup,bbc,1.000416933,3.0
3,cup,der,0.9989984052,3.0
3,cup,usa,0.9907917323,3.0
3,cup,boy,1.0070903711,3.0
3,cup,vol,0.9990233527,3.0
3,cup,bob,0.989207852,3.0
3,cup,cut,0.9894914325,1.0
3,cup,jim,0.9892515364,3.0
3,cup,map,0.9996911387,2.0
3,cup,box,0.9935964667,3.0
3,cup,ray,0.996358264,3.0
3,cup,inc,0.9900619465,3.0
3,cup,gun,1.0033862862,2.0
3,cup,ret,0.9942401115,3.0
3,cup,kim,1.0031920861,3.0
3,cup,bus,1.0010352421,2.0
3,cup,die,1.0004485869,3.0
3,cup,ben,1.0150388897,3.0
3,cup,sex,1.0017646971,3.0
3,cup,gas,0.993321553,3.0
3,cup,yet,0.9949789595,3.0
3,cup,jan,0.9910949477,3.0
3,cup,web,1.0009795411,3.0
3,cup,fox,0.9976534131,3.0
3,cup,sam,1.0077586634,3.0
3,cup,let,0.9940139979,3.0
3,cup,pay,0.9993098784,3.0
3,cup,job,0.9900037768,3.0
3,cup,ali,0.9940862222,3.0
3,cup,bad,0.9983482899,3.0
3,cup,max,1.0141710603,3.0
3,cup,tax,0.9825149532,3.0
3,cup,les,0.9954836855,3.0
3,cup,nfl,1.0085783051,3.0
3,cup,dan,0.9876234212,3.0
3,cup,say,0.997537984,3.0
3,cup,ltd,1.012554961,3.0
